iter	Passed	Remaining
1023	24220	23085
1024	24242	23059
1025	24267	23037
1026	24287	23010
1027	24307	22983
1028	24344	22972
1029	24392	22971
1030	24412	22944
1031	24434	22919
1032	24455	22892
1033	24480	22870
1034	24517	22859
1035	24538	22832
1036	24565	22812
1037	24585	22785
1038	24606	22759
1039	24629	22734
1040	24649	22707
1041	24676	22687
1042	24697	22660
1043	24719	22635
1044	24772	22639
1045	24793	22612
1046	24820	22591
1047	24852	22575
1048	24872	22549
1049	24893	22522
1050	24913	22495
1051	24933	22468
1052	24954	22442
1053	24979	22420
1054	25011	22403
1055	25031	22376
1056	25052	22350
1057	25075	22326
1058	25095	22299
1059	25116	22273
1060	25151	22259
1061	25172	22232
1062	25198	22211
1063	25218	22185
1064	25239	22158
1065	25276	22146
1066	25307	22129
1067	25328	22102
1068	25348	22075
1069	25368	22049
1070	25389	22022
1071	25409	21996
1072	25430	21970
1073	25477	21966
1074	25509	21949
1075	25540	21932
1076	25561	21906
1077	25588	21885
1078	25620	21868
1079	25668	21865
1080	25688	21838
1081	25715	21818
1082	25736	21791
1083	25756	21765
1084	25792	21751
1085	25824	21734
1086	25854	21715
1087	25875	21689
1088	25895	21662
1089	25915	21636
1090	25949	21620
1091	25980	21602
1092	26000	21576
1093	26021	21549
1094	26044	21525
1095	26065	21498
1096	26091	21477
1097	26112	21450
1098	26132	21424
1099	26154	21399
1100	26175	21372
1101	26195	21346
1102	26218	21322
1103	26250	21304
1104	26282	21287
1105	26314	21270
1106	26334	21243
1107	26355	21217
1108	26375	21190
1109	26410	21175
1110	26430	21149
1111	26450	21122
1112	26487	21109
1113	26517	21089
1114	26548	21072
1115	26568	21045
1116	26596	21025
1117	26644	21020
1118	26676	21002
1119	26707	20984
1120	26738	20966
1121	26759	20940
1122	26786	20918
1123	26818	20901
1124	26866	20896
1125	26887	20870
1126	26907	20843
1127	26945	20830
1128	26992	20824
1129	27040	20818
1130	27071	20800
1131	27092	20773
1132	27112	20746
1133	27134	20721
1134	27155	20695
1135	27181	20673
1136	27201	20646
1137	27222	20619
1138	27242	20593
1139	27263	20566
1140	27291	20546
1141	27322	20527
1142	27354	20510
1143	27386	20491
1144	27432	20484
1145	27452	20457
1146	27480	20436
1147	27500	20409
1148	27521	20383
1149	27541	20356
1150	27575	20340
1151	27596	20313
1152	27616	20287
1153	27637	20260
1154	27671	20244
1155	27691	20217
1156	27711	20191
1157	27749	20177
1158	27770	20151
1159	27796	20128
1160	27844	20122
1161	27875	20103
1162	27906	20084
1163	27937	20065
1164	27959	20039
1165	27979	20012
1166	28017	19998
1167	28037	19972
1168	28065	19950
1169	28085	19923
1170	28105	19897
1171	28126	19870
1172	28157	19852
1173	28178	19825
1174	28198	19799
1175	28236	19784
1176	28267	19765
1177	28299	19747
1178	28330	19728
1179	28350	19701
1180	28377	19679
1181	28408	19660
1182	28456	19652
1183	28476	19625
1184	28518	19614
1185	28539	19587
1186	28565	19565
1187	28585	19538
1188	28606	19511
1189	28626	19485
1190	28661	19468
1191	28681	19442
1192	28702	19415
1193	28724	19390
1194	28744	19363
1195	28772	19342
1196	28793	19316
1197	28820	19293
1198	28840	19267
1199	28867	19245
1200	28900	19226
1201	28931	19207
1202	28963	19188
1203	28995	19170
1204	29027	19151
1205	29047	19124
1206	29075	19102
1207	29096	19076
1208	29136	19063
1209	29157	19036
1210	29183	19013
1211	29230	19004
1212	29250	18977
1213	29288	18962
1214	29579	19111
1215	29607	19089
1216	29630	19063
1217	29654	19039
1218	29675	19012
1219	29702	18990
1220	29734	18970
1221	29765	18950
1222	29796	18930
1223	29828	18910
1224	29850	18884
1225	29872	18858
1226	29896	18834
1227	29923	18812
1228	29955	18792
1229	29987	18772
1230	30019	18752
1231	30051	18733
1232	30082	18713
1233	30113	18693
1234	30144	18672
1235	30176	18652
1236	30222	18641
1237	30270	18631
1238	30295	18607
1239	30317	18581
1240	30338	18555
1241	30390	18547
1242	30442	18539
1243	30499	18535
1244	30554	18529
1245	30602	18518
1246	30633	18498
1247	30681	18487
1248	30703	18461
1249	30724	18434
1250	30761	18417
1251	30782	18390
1252	30803	18364
1253	30825	18338
1254	30848	18312
1255	30871	18286
1256	30904	18267
1257	30925	18240
1258	30947	18214
1259	30984	18196
1260	31031	18185
1261	31052	18159
1262	31073	18132
1263	31095	18105
1264	31116	18079
1265	31140	18054
1266	31161	18028
1267	31184	18002
1268	31205	17975
1269	31226	17949
1270	31247	17922
1271	31282	17903
1272	31314	17883
1273	31335	17856
1274	31356	17830
1275	31378	17803
1276	31399	17777
1277	31420	17751
1278	31441	17724
1279	31473	17703
1280	31494	17677
1281	31516	17650
1282	31553	17633
1283	31584	17612
1284	31616	17592
1285	31648	17571
1286	31680	17550
1287	31712	17530
1288	31735	17505
1289	31760	17480
1290	31781	17453
1291	31802	17427
1292	31855	17418
1293	31876	17391
1294	31903	17368
1295	31926	17342
1296	31951	17318
1297	31973	17292
1298	31995	17266
1299	32017	17240
1300	32039	17214
1301	32061	17188
1302	32090	17165
1303	32136	17152
1304	32182	17139
1305	32205	17113
1306	32244	17096
1307	32291	17083
1308	32314	17058
1309	32336	17032
1310	32358	17006
1311	32380	16980
1312	32402	16953
1313	32424	16927
1314	32463	16910
1315	32485	16884
1316	32512	16860
1317	32534	16834
1318	32559	16810
1319	32591	16789
1320	32612	16762
1321	32633	16736
1322	32654	16709
1323	32676	16683
1324	32698	16657
1325	32733	16638
1326	32755	16612
1327	32780	16587
1328	32812	16566
1329	32843	16545
1330	32866	16519
1331	32887	16492
1332	32923	16474
1333	32955	16452
1334	33001	16438
1335	33033	16417
1336	33056	16392
1337	33078	16366
1338	33101	16340
1339	33122	16314
1340	33144	16287
1341	33170	16263
1342	33191	16237
1343	33224	16216
1344	33245	16190
1345	33266	16163
1346	33302	16144
1347	33366	16138
1348	33413	16124
1349	33445	16103
1350	33493	16089
1351	33534	16072
1352	33567	16051
1353	33617	16038
1354	33638	16012
1355	33660	15986
1356	33696	15966
1357	33728	15945
1358	33759	15923
1359	33792	15902
1360	33822	15879
1361	33854	15858
1362	33877	15832
1363	33931	15821
1364	33963	15800
1365	33989	15775
1366	34027	15756
1367	34052	15731
1368	34092	15713
1369	34139	15699
1370	34185	15684
1371	34208	15658
1372	34249	15640
1373	34271	15614
1374	34293	15587
1375	34325	15566
1376	34346	15539
1377	34368	15513
1378	34389	15486
1379	34410	15459
1380	34436	15435
1381	34468	15413
1382	34514	15398
1383	34545	15375
1384	34591	15360
1385	34612	15333
1386	34633	15306
1387	34654	15279
1388	34676	15253
1389	34716	15235
1390	34747	15212
1391	34768	15186
1392	34794	15161
1393	34843	15147
1394	34889	15131
1395	34936	15115
1396	34957	15088
1397	34983	15064
1398	35015	15042
1399	35037	15015
1400	35058	14989
1401	35079	14962
1402	35111	14940
1403	35141	14917
1404	35188	14901
1405	35209	14875
1406	35234	14849
1407	35256	14823
1408	35278	14797
1409	35329	14783
1410	35351	14756
1411	35372	14730
1412	35394	14703
1413	35425	14681
1414	35446	14654
1415	35468	14628
1416	35490	14601
1417	35518	14578
1418	35540	14551
1419	35562	14525
1420	35585	14499
1421	35611	14474
1422	35632	14448
1423	35660	14424
1424	35691	14402
1425	35713	14375
1426	35734	14348
1427	35755	14322
1428	35785	14299
1429	35817	14276
1430	35848	14254
1431	35870	14227
1432	35896	14203
1433	35944	14187
1434	35966	14160
1435	35988	14134
1436	36010	14108
1437	36034	14082
1438	36055	14056
1439	36076	14029
1440	36103	14005
1441	36135	13983
1442	36157	13956
1443	36179	13930
1444	36201	13904
1445	36230	13880
1446	36261	13858
1447	36292	13835
1448	36324	13812
1449	36346	13786
1450	36388	13767
1451	36420	13745
1452	36451	13722
1453	36483	13700
1454	36514	13677
1455	36535	13650
1456	36561	13626
1457	36593	13603
1458	36615	13576
1459	36637	13550
1460	36661	13525
1461	36689	13501
1462	36710	13474
1463	36736	13450
1464	36758	13423
1465	36778	13396
1466	36813	13375
1467	36834	13348
1468	36859	13323
1469	36881	13297
1470	36902	13270
1471	36924	13244
1472	36968	13226
1473	36998	13203
1474	37029	13180
1475	37061	13157
1476	37082	13130
1477	37104	13104
1478	37141	13083
1479	37173	13060
1480	37205	13038
1481	37235	13014
1482	37266	12991
1483	37297	12968
1484	37345	12951
1485	37392	12933
1486	37423	12910
1487	37455	12887
1488	37486	12864
1489	37549	12852
1490	37580	12829
1491	37612	12806
1492	37644	12783
1493	37665	12756
1494	37686	12730
1495	37708	12703
1496	37740	12680
1497	37767	12656
1498	37817	12639
1499	37848	12616
1500	37870	12589
1501	37895	12564
1502	37916	12538
1503	37943	12513
1504	37974	12490
1505	38006	12466
1506	38054	12449
1507	38075	12422
1508	38117	12402
1509	38147	12379
1510	38194	12360
1511	38225	12337
1512	38247	12311
1513	38273	12285
1514	38294	12259
1515	38321	12234
1516	38342	12207
1517	38369	12183
1518	38390	12156
1519	38416	12131
1520	38448	12108
1521	38478	12084
1522	38499	12057
1523	38524	12032
1524	38555	12008
1525	38585	11985
1526	38615	11961
1527	38637	11935
1528	38662	11909
1529	38684	11883
1530	38705	11856
1531	38726	11830
1532	38757	11806
1533	38779	11780
1534	38805	11755
1535	38853	11736
1536	38874	11710
1537	38895	11683
1538	38917	11657
1539	38965	11639
1540	38988	11613
1541	39010	11586
1542	39044	11564
